F,0.49,0.375,ERR2020,0.5755,0.22,0.144,0.19,9
M,0.57,0.44,ERR2020,0.8815,0.3605,0.1955,0.2735,10
I,0.575,0.45,ERR2020,0.795,0.364,0.1505,0.26,10
F,0.545,0.445,ERR2020,0.8,0.3535,0.163,0.207,9
F,0.64,0.5,ERR2020,1.2645,0.565,0.3375,0.315,9
M,0.61,0.47,ERR2020,1.1185,0.5225,0.2405,0.31,9
M,0.625,0.49,ERR2020,1.205,0.5175,0.3105,0.3465,10
F,0.64,0.515,ERR2020,1.3115,0.4945,0.2555,0.41,10
M,0.57,0.45,ERR2020,0.795,0.3385,0.148,0.245,9
I,0.525,0.4,ERR2020,0.601,0.2625,0.1285,0.1835,9
M,0.58,0.455,ERR2020,0.93,0.408,0.259,0.22,9
F,0.41,0.325,ERR2020,0.3635,0.159,0.077,0.12,10
I,0.425,0.38,ERR2020,0.3265,0.1285,0.0785,0.1,10
M,0.605,0.475,ERR2020,1.2525,0.5575,0.3055,0.343,9
F,0.625,0.485,ERR2020,1.3745,0.7335,0.2715,0.332,9
F,0.645,0.5,0.225,1.626,0.587,0.4055,0.41,15
M,0.585,0.455,0.225,1.055,0.3815,0.221,0.365,15
F,0.455,0.35,ERR2020,0.5725,0.1965,0.1325,0.175,10
M,0.53,0.415,ERR2020,0.724,0.3105,0.1675,0.205,10
F,0.54,0.385,ERR2020,0.7655,0.3265,0.116,0.2365,10
M,0.685,0.52,0.165,1.519,0.699,0.3685,0.4,10
M,0.67,0.5,0.19,1.519,0.616,ERR2020,0.415,10
M,0.53,0.43,0.135,0.879,0.28,ERR2020,0.25,10
M,0.54,0.415,0.17,0.879,0.339,0.208,0.255,10
M,0.695,0.55,0.205,2.173,1.133,0.4665,0.496,10
F,0.705,0.56,0.205,2.381,0.9915,0.5005,0.624,10
I,0.45,0.355,0.115,0.4385,0.184,0.108,0.1125,11
F,0.455,0.365,0.115,0.4305,0.184,0.108,0.1245,8
M,0.65,0.525,0.19,1.3685,0.5975,0.296,0.4,11
M,0.645,0.51,0.19,1.4865,0.6445,0.296,0.425,12
M,0.615,0.49,0.17,1.145,0.4915,0.208,0.343,13
F,0.6,0.48,0.165,1.1345,0.4535,ERR2020,0.335,10
F,0.6,0.47,ERR2020,1.1345,0.492,0.2595,0.3375,10
F,0.6,0.47,0.19,1.1345,0.492,0.2595,0.3375,10
I,0.325,0.24,0.075,0.152,0.065,0.0305,0.045,6
I,0.325,0.24,0.07,0.152,0.0565,0.0305,0.054,8
M,0.33,0.235,0.09,0.163,0.0615,0.034,0.055,10
M,0.345,0.265,0.09,0.163,0.0615,0.037,0.0485,10
I,0.2,0.145,0.025,0.0345,0.011,0.0075,0.01,5
M,0.175,0.135,0.04,0.0305,0.011,0.0075,0.01,5
F,0.575,0.47,0.155,1.116,0.509,0.238,0.34,10
F,0.61,0.475,0.16,1.1155,ERR2020,ERR2020,0.379,10
I,0.16,0.12,0.02,0.018,0.0075,0.0045,0.005,4
I,0.16,0.12,0.035,0.021,0.0075,0.0045,0.005,5
I,0.41,0.305,0.1,0.2645,0.1,0.0655,0.085,ERR2020
I,0.41,0.305,0.095,0.2625,0.1,0.0515,0.09,ERR2020
I,0.41,0.305,0.1,0.2645,0.1,0.0655,0.085,7
I,0.41,0.305,0.095,0.2625,0.1,0.0515,0.09,6
F,0.475,0.4,0.115,0.541,0.186,0.1025,0.21,13
F,0.49,0.37,0.115,0.541,0.171,0.1175,0.185,11
F,0.47,0.35,0.115,0.487,0.1955,0.127,0.155,8
F,0.475,0.35,0.115,0.487,0.194,0.1455,0.125,13
F,0.625,0.49,0.19,1.7015,0.7465,0.4105,0.3855,11
F,0.615,0.49,0.19,1.1345,0.4695,0.257,0.348,11
I,0.485,0.415,0.14,0.5705,0.25,0.134,0.185,8
I,0.515,0.39,0.125,0.5705,0.238,0.1265,0.185,8
M,0.535,0.42,0.125,0.738,0.355,0.1895,0.1795,8
F,0.535,0.425,0.135,0.771,0.3765,0.1815,0.1795,8
M,0.465,0.375,0.11,0.5,0.21,0.113,0.1505,8
I,0.495,0.38,0.145,0.5,0.205,0.148,0.1505,8
F,0.66,0.515,0.17,1.337,0.615,0.3125,0.3575,10
F,0.65,0.495,0.155,1.337,0.615,0.3195,0.335,9
F,0.655,0.455,0.17,1.2895,0.587,0.3165,0.3415,11
F,0.655,0.51,0.155,1.2895,0.5345,0.2855,0.41,11
F,0.66,0.525,0.19,1.67,0.6525,0.4875,0.49,11
F,0.66,0.525,0.2,1.463,0.6525,0.2995,0.422,11
F,0.725,0.565,0.21,2.1425,1.03,0.487,0.503,14
F,0.67,0.53,0.225,1.5615,0.63,0.487,0.3725,11
F,0.67,0.525,0.195,1.37,0.6065,0.2955,0.407,12
F,0.65,0.5,0.185,1.4415,0.741,0.2955,0.341,9
F,0.475,0.38,0.145,0.57,0.167,0.118,0.187,11
F,0.465,0.355,0.115,0.4705,0.1955,0.118,0.126,7
F,0.575,0.47,ERR2020,1.116,0.509,0.238,0.34,10
M,0.545,0.46,0.16,0.8975,0.341,0.1655,0.345,10
F,0.565,0.445,0.155,0.826,0.341,0.2055,0.2475,10
M,0.5,0.38,0.12,0.5765,0.273,0.135,0.145,9
M,0.5,0.39,0.145,0.651,0.273,0.132,0.22,11
M,0.61,0.49,0.16,1.112,0.465,0.228,0.341,10
M,0.61,0.475,0.155,0.983,0.4565,0.228,0.266,10
M,0.64,0.485,0.15,1.098,0.5195,0.222,0.3175,10
M,0.575,0.435,0.13,1.0105,0.368,0.222,0.32,10
M,0.735,0.57,0.175,1.88,0.9095,0.387,0.488,11
M,0.685,0.55,0.2,1.7725,0.813,0.387,0.49,11
I,0.525,0.43,0.15,0.7365,0.3225,0.161,0.215,11
F,0.535,0.42,0.15,0.7365,0.2785,0.186,0.215,14
I,0.315,0.23,0.07,0.144,0.053,0.0305,0.04,8
I,0.37,0.29,ERR2020,0.25,0.1025,0.0505,0.085,10
I,0.38,0.275,ERR2020,0.2255,0.08,0.049,0.085,10
I,0.29,0.21,0.065,0.097,0.0375,0.022,0.03,6
M,0.26,0.2,0.065,0.096,0.044,0.027,0.03,6
I,0.25,0.18,0.065,0.0685,0.0245,0.0155,0.0225,5
I,0.25,0.185,0.065,0.0685,0.0295,0.014,0.0225,5
I,0.25,0.185,0.065,0.071,0.027,0.0185,0.0225,5
I,0.165,0.12,ERR2020,0.021,0.0075,0.0045,0.014,3
M,0.67,0.52,0.175,1.4755,0.6275,0.379,0.374,10
F,0.655,0.52,0.175,1.472,0.6275,0.27,0.45,13
M,0.245,0.18,0.065,ERR2020,0.0245,0.0135,0.02,4
F,0.66,0.535,0.205,1.4415,0.5925,ERR2020,0.49,10
M,0.66,0.515,0.155,1.4415,0.7055,0.3555,0.335,10
M,0.66,0.515,0.155,1.4415,0.7055,ERR2020,0.335,10
F,0.66,0.535,0.205,1.4415,0.5925,0.2775,0.49,10
M,0.625,0.5,0.175,1.0565,0.4615,ERR2020,0.305,10
M,0.615,0.46,0.17,1.0565,0.4815,0.272,0.27,10
F,0.54,0.42,0.145,0.8655,0.4315,0.163,0.2175,10
M,0.54,0.42,0.19,ERR2020,0.293,0.163,0.38,10
M,0.55,0.435,0.14,0.7625,0.327,0.1685,0.259,10
F,0.58,0.435,0.155,ERR2020,0.425,0.1685,0.2425,10
F,0.605,0.49,0.15,1.1345,0.4305,ERR2020,0.35,10
F,0.6,0.48,0.165,1.1345,0.4535,ERR2020,0.335,10
I,0.585,0.47,0.17,0.985,0.3695,ERR2020,0.315,10
M,0.575,0.47,0.185,0.985,0.3745,0.2175,0.355,10
M,0.66,0.515,0.165,1.4465,0.694,ERR2020,0.3755,10
F,0.675,0.53,0.175,1.4465,0.6775,0.33,0.389,10
F,0.635,0.505,0.145,1.1345,0.505,0.2655,0.315,10
M,0.615,0.505,0.165,1.167,0.4895,ERR2020,0.345,10
F,0.63,0.485,0.185,1.167,0.548,0.2485,0.34,10
F,0.49,0.365,ERR2020,0.6345,0.1995,0.1625,0.22,10
M,0.585,0.465,0.165,ERR2020,0.4025,0.1625,0.274,10
I,0.52,0.41,0.14,0.699,0.3395,ERR2020,0.1945,10
M,0.53,0.435,0.155,0.699,0.288,0.1595,0.205,10
F,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,10
F,0.52,0.41,0.125,ERR2020,0.2945,0.1625,0.215,10
F,0.59,0.455,0.175,0.966,0.391,ERR2020,0.31,10
M,0.59,0.44,0.135,0.966,0.439,0.2145,0.2605,10
I,0.52,0.385,0.115,ERR2020,0.2555,0.156,0.143,10
F,0.57,0.435,0.15,0.8295,0.3875,0.156,0.245,10
M,0.575,0.47,ERR2020,0.985,0.3745,0.2175,0.355,10
F,0.615,0.455,0.145,1.1155,0.5045,0.238,0.315,10
M,0.51,0.4,0.14,ERR2020,0.2455,0.1665,0.185,10
I,0.5,0.385,0.15,0.6265,0.2605,0.1665,0.16,10
