Thu Feb  4 04:33:29 2021
rule_repository_top_k.size(): 30
(height,)=>length | whole_supp: 4785 | whole_vio: 4212 | whole_conf: 0.119749 | Asupp: 10
(height,whucked,)=>shell | whole_supp: 4785 | whole_vio: 525 | whole_conf: 0.890282 | Asupp: 10
(height,whucked,)=>length | whole_supp: 4785 | whole_vio: 495 | whole_conf: 0.896552 | Asupp: 10
(height,viscera,)=>sex | whole_supp: 4785 | whole_vio: 492 | whole_conf: 0.897179 | Asupp: 10
(height,whucked,)=>diameter | whole_supp: 4785 | whole_vio: 467 | whole_conf: 0.902403 | Asupp: 10
(whole,rings,)=>whucked | whole_supp: 4785 | whole_vio: 448 | whole_conf: 0.906374 | Asupp: 10
(whole,rings,)=>viscera | whole_supp: 4785 | whole_vio: 414 | whole_conf: 0.913480 | Asupp: 10
(whucked,rings,)=>sex | whole_supp: 4785 | whole_vio: 391 | whole_conf: 0.918286 | Asupp: 10
(whole,rings,)=>shell | whole_supp: 4785 | whole_vio: 389 | whole_conf: 0.918704 | Asupp: 10
(whole,rings,)=>diameter | whole_supp: 4785 | whole_vio: 386 | whole_conf: 0.919331 | Asupp: 10
(whole,rings,)=>length | whole_supp: 4785 | whole_vio: 378 | whole_conf: 0.921003 | Asupp: 10
(height,whole,)=>viscera | whole_supp: 4785 | whole_vio: 313 | whole_conf: 0.934587 | Asupp: 10
(height,whole,)=>shell | whole_supp: 4785 | whole_vio: 285 | whole_conf: 0.940439 | Asupp: 10
(height,whucked,)=>sex | whole_supp: 4785 | whole_vio: 281 | whole_conf: 0.941275 | Asupp: 10
(height,whole,)=>length | whole_supp: 4785 | whole_vio: 275 | whole_conf: 0.942529 | Asupp: 10
(height,whole,)=>whucked | whole_supp: 4785 | whole_vio: 269 | whole_conf: 0.943783 | Asupp: 10
(height,whole,)=>diameter | whole_supp: 4785 | whole_vio: 240 | whole_conf: 0.949843 | Asupp: 10
(whole,rings,)=>sex | whole_supp: 4785 | whole_vio: 214 | whole_conf: 0.955277 | Asupp: 10
(height,whole,)=>sex | whole_supp: 4785 | whole_vio: 161 | whole_conf: 0.966353 | Asupp: 10
(rings,sex=M,)=>whole | whole_supp: 1743 | whole_vio: 1684 | whole_conf: 0.033850 | Asupp: 4
(rings,sex=M,)=>whucked | whole_supp: 1743 | whole_vio: 1678 | whole_conf: 0.037292 | Asupp: 4
(rings,sex=M,)=>viscera | whole_supp: 1743 | whole_vio: 1675 | whole_conf: 0.039013 | Asupp: 4
(rings,sex=M,)=>shell | whole_supp: 1743 | whole_vio: 1644 | whole_conf: 0.056799 | Asupp: 4
(rings,sex=M,)=>length | whole_supp: 1743 | whole_vio: 1613 | whole_conf: 0.074584 | Asupp: 4
(rings,sex=M,)=>diameter | whole_supp: 1743 | whole_vio: 1600 | whole_conf: 0.082042 | Asupp: 4
(height,sex=M,)=>whole | whole_supp: 1743 | whole_vio: 1569 | whole_conf: 0.099828 | Asupp: 4
(height,sex=M,)=>whucked | whole_supp: 1743 | whole_vio: 1561 | whole_conf: 0.104418 | Asupp: 4
(height,sex=M,)=>viscera | whole_supp: 1743 | whole_vio: 1555 | whole_conf: 0.107860 | Asupp: 4
(height,sex=M,)=>shell | whole_supp: 1743 | whole_vio: 1523 | whole_conf: 0.126219 | Asupp: 4
(rings,sex=I,)=>whole | whole_supp: 1559 | whole_vio: 1483 | whole_conf: 0.048749 | Asupp: 4
(height,sex=M,)=>length | whole_supp: 1743 | whole_vio: 1481 | whole_conf: 0.150316 | Asupp: 4
(rings,sex=I,)=>whucked | whole_supp: 1559 | whole_vio: 1468 | whole_conf: 0.058371 | Asupp: 4
(rings,sex=I,)=>viscera | whole_supp: 1559 | whole_vio: 1464 | whole_conf: 0.060937 | Asupp: 4
(height,sex=M,)=>diameter | whole_supp: 1743 | whole_vio: 1443 | whole_conf: 0.172117 | Asupp: 4
(rings,sex=I,)=>shell | whole_supp: 1559 | whole_vio: 1433 | whole_conf: 0.080821 | Asupp: 4
(rings,sex=I,)=>length | whole_supp: 1559 | whole_vio: 1404 | whole_conf: 0.099423 | Asupp: 4
(rings,sex=I,)=>diameter | whole_supp: 1559 | whole_vio: 1376 | whole_conf: 0.117383 | Asupp: 4
(rings,sex=F,)=>whucked | whole_supp: 1483 | whole_vio: 1432 | whole_conf: 0.034390 | Asupp: 2
(rings,sex=F,)=>whole | whole_supp: 1483 | whole_vio: 1431 | whole_conf: 0.035064 | Asupp: 2
(rings,sex=F,)=>viscera | whole_supp: 1483 | whole_vio: 1425 | whole_conf: 0.039110 | Asupp: 2
(rings,sex=F,)=>shell | whole_supp: 1483 | whole_vio: 1410 | whole_conf: 0.049225 | Asupp: 2
(rings,sex=F,)=>length | whole_supp: 1483 | whole_vio: 1374 | whole_conf: 0.073500 | Asupp: 2
(rings,sex=F,)=>diameter | whole_supp: 1483 | whole_vio: 1358 | whole_conf: 0.084289 | Asupp: 2
(height,sex=F,)=>whole | whole_supp: 1483 | whole_vio: 1327 | whole_conf: 0.105192 | Asupp: 2
(height,sex=F,)=>whucked | whole_supp: 1483 | whole_vio: 1323 | whole_conf: 0.107889 | Asupp: 2
(height,sex=F,)=>viscera | whole_supp: 1483 | whole_vio: 1317 | whole_conf: 0.111935 | Asupp: 2
(height,sex=F,)=>shell | whole_supp: 1483 | whole_vio: 1296 | whole_conf: 0.126096 | Asupp: 2
(height,sex=F,)=>length | whole_supp: 1483 | whole_vio: 1255 | whole_conf: 0.153742 | Asupp: 2
(height,sex=F,)=>diameter | whole_supp: 1483 | whole_vio: 1218 | whole_conf: 0.178692 | Asupp: 2
(length,sex=F,)=>height | whole_supp: 1483 | whole_vio: 1172 | whole_conf: 0.209710 | Asupp: 2
(diameter,sex=F,)=>height | whole_supp: 1483 | whole_vio: 1171 | whole_conf: 0.210384 | Asupp: 2
(diameter,sex=F,)=>rings | whole_supp: 1483 | whole_vio: 1020 | whole_conf: 0.312205 | Asupp: 2
(length,sex=F,)=>rings | whole_supp: 1483 | whole_vio: 1016 | whole_conf: 0.314902 | Asupp: 2
(diameter,rings=11,)=>sex | whole_supp: 491 | whole_vio: 201 | whole_conf: 0.590631 | Asupp: 2
(sex,diameter,height,)=>rings | whole_supp: 4785 | whole_vio: 1894 | whole_conf: 0.604180 | Asupp: 10
(diameter,height,sex=I,)=>rings | whole_supp: 1367 | whole_vio: 611 | whole_conf: 0.553036 | Asupp: 4
(sex,diameter,height,)=>whole | whole_supp: 4785 | whole_vio: 2443 | whole_conf: 0.489446 | Asupp: 10
(sex,diameter,height,)=>whucked | whole_supp: 4785 | whole_vio: 2413 | whole_conf: 0.495716 | Asupp: 10
(sex,diameter,height,)=>viscera | whole_supp: 4785 | whole_vio: 2407 | whole_conf: 0.496970 | Asupp: 10
(sex,diameter,height,)=>shell | whole_supp: 4785 | whole_vio: 2317 | whole_conf: 0.515778 | Asupp: 10


