F,0.595,0.475,0.17,1.247,0.48,0.225,0.425,20
M,0.655,0.525,0.185,1.259,0.487,0.2215,0.445,20
M,0.6,0.465,0.2,1.259,0.6405,0.1985,0.357,9
M,0.63,0.515,0.155,1.259,0.4105,0.197,0.41,13
M,0.625,0.48,0.16,1.1415,0.5795,0.2145,0.29,9
M,0.57,0.455,0.175,1.02,0.4805,0.2145,0.29,9
M,0.43,0.31,0.13,0.6485,0.2735,0.163,0.184,9
M,0.525,0.4,0.13,0.622,0.2655,0.147,0.184,9
M,0.58,0.47,0.165,1.041,0.54,0.166,0.279,9
I,0.56,0.445,0.165,0.832,0.3455,0.179,0.279,9
F,0.625,0.495,0.16,1.1115,0.4495,0.2825,0.345,11
M,0.635,0.515,0.16,1.2075,0.5385,0.282,0.345,11
F,0.67,0.505,0.175,1.0145,0.4375,0.271,0.3745,10
M,0.625,0.49,0.175,1.3325,0.5705,0.271,0.405,10
F,0.65,0.505,0.175,1.2075,0.5105,0.262,0.39,10
M,0.63,0.51,0.175,1.3415,0.6575,0.262,0.375,10
M,0.675,0.51,0.17,1.527,0.809,0.318,0.341,11
F,0.65,0.5,0.17,1.4045,0.694,0.318,0.3235,11
M,0.45,0.335,0.14,0.478,0.1865,0.115,0.16,11
I,0.52,0.38,0.14,0.525,0.1775,0.115,0.185,11
F,0.6,0.475,0.155,1.059,0.441,0.19,0.39,11
M,0.56,0.455,0.155,0.797,0.34,0.19,0.2425,11
I,0.325,0.25,0.07,0.1745,0.0875,0.0355,0.04,7
I,0.325,0.25,0.08,0.176,0.0595,0.0355,0.063,7
M,0.345,0.27,0.095,0.197,0.0665,0.05,0.07,9
M,0.645,0.505,0.165,1.307,0.4335,0.262,0.52,10
F,0.655,0.51,0.155,1.2895,0.5345,0.2855,0.41,11
F,0.655,0.455,0.17,1.2895,0.587,0.3165,0.3415,11
M,0.56,0.44,0.16,1.1115,0.5035,0.2785,0.26,10
M,0.56,0.44,0.16,0.8645,0.3305,0.2075,0.26,10
F,0.655,0.5,0.205,1.528,0.6215,0.3725,0.4535,11
F,0.66,0.505,0.185,1.528,0.69,0.3025,0.441,11
M,0.615,0.49,0.17,1.145,0.4915,0.208,0.343,13
M,0.54,0.415,0.17,0.879,0.339,0.208,0.255,10
M,0.595,0.455,0.155,1.041,0.416,0.2105,0.365,14
M,0.595,0.47,0.15,0.8915,0.359,0.2105,0.245,12
I,0.41,0.305,0.1,0.2645,0.1,0.0655,0.085,7
I,0.41,0.325,0.1,0.394,0.208,0.0655,0.106,6
F,0.7,0.555,0.22,1.666,0.647,0.4285,0.455,11
I,0.47,0.37,0.14,0.4985,0.2095,0.1225,0.145,10
M,0.46,0.38,0.135,0.482,0.207,0.1225,0.145,10
F,0.65,0.505,0.165,1.357,0.5725,0.281,0.43,11
F,0.625,0.5,0.16,1.217,0.5725,0.207,0.355,11
F,0.635,0.5,0.18,1.2565,0.539,0.292,0.35,10
M,0.6,0.45,0.16,1.142,0.539,0.225,0.307,10
M,0.665,0.525,0.155,1.3575,0.5325,0.3045,0.4485,10
F,0.62,0.48,0.165,1.0125,0.5325,0.4365,0.324,10
F,0.5,0.4,0.125,0.5765,0.2395,0.126,0.185,10
M,0.47,0.365,0.135,0.522,0.2395,0.1525,0.145,10
