F,0.65,0.495,0.155,1.337,0.615,0.3195,0.335,9
F,0.66,0.515,0.17,1.337,0.615,0.3125,0.3575,10
F,0.655,0.455,0.17,1.275,0.583,0.303,0.333,8
F,0.655,0.53,0.165,1.2835,0.583,0.1255,0.4,8
F,0.47,0.36,0.11,0.4965,0.237,0.127,0.13,6
F,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,8
I,0.295,0.215,0.075,0.116,0.037,0.0295,0.04,ERR2020
M,0.295,0.215,0.075,0.129,0.05,0.0295,0.04,ERR2020
M,0.295,0.215,0.075,0.129,0.05,0.0295,0.04,7
I,0.32,0.24,0.075,0.1735,0.076,0.0355,0.05,7
M,0.325,0.24,0.075,0.155,0.0475,0.0355,0.06,9
M,0.685,0.53,0.17,1.56,0.647,0.383,0.465,ERR2020
F,0.715,0.525,0.185,1.56,0.6655,0.383,0.405,ERR2020
M,0.61,0.475,0.17,1.0265,0.435,ERR2020,0.3035,10
F,0.615,0.46,0.15,1.0265,0.4935,0.201,0.2745,10
F,0.65,0.505,0.175,1.2075,0.5105,ERR2020,0.39,10
M,0.65,0.495,0.16,1.2075,0.55,0.2695,0.32,10
F,0.52,0.425,0.15,0.813,0.385,0.2015,0.23,10
M,0.55,0.45,0.15,1.0145,0.407,0.2015,0.2875,10
M,0.625,0.475,0.16,1.0845,0.5005,0.2355,0.3105,10
F,0.605,0.485,0.16,1.0565,0.37,0.2355,0.355,10
F,0.67,0.505,0.175,1.0145,0.4375,0.271,0.3745,10
M,0.625,0.49,0.175,1.3325,0.5705,0.271,0.405,10
I,0.545,0.425,0.14,0.8145,0.305,ERR2020,0.244,10
I,0.575,0.45,0.13,0.8145,0.403,0.1715,0.213,10
M,0.58,0.455,0.15,1.012,0.4985,0.2115,0.2835,10
M,0.57,0.45,0.155,ERR2020,0.513,0.21,0.343,10
M,0.545,0.425,0.135,0.8445,0.373,0.21,0.235,10
I,0.54,0.405,0.15,ERR2020,0.307,0.2075,0.19,10
M,0.56,0.44,0.16,0.8645,0.3305,0.2075,0.26,10
F,0.58,0.425,0.155,0.873,0.3615,ERR2020,0.239,10
M,0.57,0.435,0.17,0.873,0.382,0.183,0.2705,10
M,0.59,0.44,0.135,0.966,0.439,ERR2020,0.2605,10
F,0.59,0.455,0.175,0.966,0.391,0.2455,0.31,10
M,0.555,0.46,0.16,0.86,0.3345,0.1935,0.275,10
M,0.58,0.46,0.15,1.049,0.5205,0.1935,0.305,10
I,0.55,0.435,0.14,0.7535,0.3285,0.1555,0.2325,10
M,0.57,0.435,0.13,0.7535,0.349,0.1755,0.194,10
I,0.325,0.24,0.075,0.152,0.065,0.0305,0.045,6
I,0.325,0.24,0.07,0.152,0.0565,0.0305,0.054,8
I,0.575,0.45,0.135,0.8715,0.45,ERR2020,0.225,10
I,0.565,0.46,0.155,0.8715,0.3755,0.215,0.25,10
M,0.62,0.525,0.155,1.085,0.454,ERR2020,0.35,10
M,0.625,0.48,0.145,1.085,0.4645,0.2445,0.327,10
M,0.56,0.44,0.16,ERR2020,0.3305,0.2075,0.26,10
I,0.54,0.405,0.15,ERR2020,0.307,0.2075,0.19,10
M,0.58,0.43,0.125,0.9115,0.446,0.2075,0.121,10
I,0.16,0.12,0.02,0.018,0.0075,0.0045,0.005,4
I,0.16,0.12,ERR2020,0.021,0.0075,0.0045,0.005,5
I,0.165,0.12,0.05,0.021,0.0075,0.0045,0.014,3
F,0.675,0.54,0.21,1.593,0.686,0.318,0.45,11
M,0.675,0.51,0.17,1.527,0.809,0.318,0.341,11
I,0.41,0.305,0.1,0.2645,0.1,0.0655,0.085,7
I,0.41,0.325,0.1,0.394,0.208,0.0655,0.106,6
M,0.33,0.215,0.075,0.1145,0.045,0.0265,0.035,6
I,0.275,0.205,0.075,0.1105,0.045,0.0285,0.035,6
I,0.33,0.24,0.075,0.163,0.0745,0.033,0.048,6
I,0.34,0.255,0.075,0.18,0.0745,0.04,0.0525,6
M,0.685,0.53,0.17,1.56,0.647,0.383,0.465,11
F,0.715,0.525,0.185,1.56,0.6655,0.383,0.405,11
I,0.14,0.105,0.035,0.0145,0.005,0.0035,0.005,4
I,0.165,0.115,0.015,0.0145,0.0055,0.003,0.005,4
I,0.485,0.415,0.14,0.5705,0.25,0.134,0.185,8
I,0.515,0.39,0.125,0.5705,0.238,0.1265,0.185,8
I,0.225,0.17,0.05,0.0515,0.019,0.012,0.017,4
I,0.23,0.165,0.06,0.0515,0.019,0.0145,0.036,4
I,0.305,0.245,0.075,0.156,0.0675,0.038,0.045,7
F,0.305,0.23,0.08,0.156,0.0675,0.0345,0.048,7
I,0.28,0.21,0.055,0.106,0.0415,0.0265,0.031,5
