"oid","sex","length","diameter","height","whole","whucked","viscera","shell","rings"
"238","I","0.13","0.1","0.03","0.013","0.0045","0.003","0.004","3"
"239","I","0.11","0.09","0.03","0.008","0.0025","0.002","0.003","3"
"240","I","0.16","0.12","0.035","0.021","0.0075","0.0045","0.005","5"
"241","M","0.565","0.425","0.16","0.9425","0.3495","0.2185","0.275","17"
"242","I","0.27","0.2","0.07","0.1","0.034","0.0245","0.035","5"
"243","I","0.23","0.175","0.065","0.0645","0.026","0.0105","0.02","5"
"244","I","0.3","0.23","0.08","0.1275","0.0435","0.0265","0.04","8"
"245","I","0.33","0.255","0.085","0.1655","0.063","0.039","0.06","8"
"246","I","0.35","0.26","0.085","0.4015","0.0705","0.0345","0.06","10"
"247","I","0.32","0.245","0.08","0.1585","0.0635","0.0325","0.05","13"
"248","I","0.36","0.275","0.085","0.1975","0.0745","0.0415","0.07","9"
"249","I","0.305","0.245","0.075","0.156","0.0675","0.038","0.045","7"
"250","I","0.345","0.27","0.11","0.2135","0.082","0.0545","0.07","7"
"251","I","0.33","0.25","0.105","0.1715","0.0655","0.035","0.06","7"
"252","M","0.59","0.47","0.18","1.1235","0.4205","0.2805","0.36","13"
"253","F","0.595","0.455","0.155","1.0605","0.5135","0.2165","0.3","12"
"254","F","0.575","0.46","0.185","1.094","0.4485","0.217","0.345","15"
"255","M","0.6","0.495","0.165","1.2415","0.485","0.2775","0.34","15"
"256","M","0.56","0.45","0.175","1.011","0.3835","0.2065","0.37","15"
"257","M","0.56","0.45","0.185","1.07","0.3805","0.175","0.41","19"
"258","M","0.545","0.46","0.16","0.8285","0.341","0.1655","0.345","10"
"259","F","0.635","0.505","0.17","1.415","0.605","0.297","0.365","15"
"260","F","0.59","0.475","0.16","1.1015","0.4775","0.2555","0.295","13"
"261","F","0.54","0.475","0.155","0.928","0.394","0.194","0.26","11"
"262","F","0.57","0.44","0.125","0.865","0.3675","0.1725","0.27","12"
"263","M","0.53","0.42","0.165","0.8945","0.319","0.239","0.245","11"
"264","I","0.245","0.195","0.06","0.095","0.0445","0.0245","0.026","4"
"265","M","0.27","0.2","0.08","0.1205","0.0465","0.028","0.04","6"
"266","F","0.46","0.38","0.13","0.639","0.3","0.1525","0.16","11"
"267","M","0.52","0.45","0.15","0.895","0.3615","0.186","0.235","14"
"268","M","0.35","0.275","0.11","0.2925","0.1225","0.0635","0.0905","8"
"269","M","0.47","0.39","0.15","0.6355","0.2185","0.0885","0.255","9"
"270","F","0.45","0.36","0.125","0.4995","0.2035","0.1","0.17","13"
"271","F","0.64","0.525","0.215","1.779","0.4535","0.2855","0.55","22"
"272","M","0.59","0.5","0.2","1.187","0.412","0.2705","0.37","16"
"273","M","0.62","0.485","0.205","1.219","0.3875","0.2505","0.385","14"
"274","M","0.63","0.505","0.225","1.525","0.56","0.3335","0.45","15"
"275","M","0.63","0.515","0.155","1.259","0.4105","0.197","0.41","13"
"276","M","0.655","0.54","0.215","1.844","0.7425","0.327","0.585","22"
"277","F","0.66","0.53","0.185","1.3485","0.493","0.245","0.49","12"
"278","M","0.61","0.5","0.24","1.642","0.532","0.3345","0.69","18"
"279","M","0.635","0.525","0.205","1.484","0.55","0.3115","0.43","20"
"280","F","0.515","0.425","0.135","0.712","0.2665","0.1605","0.25","11"
"281","F","0.535","0.415","0.185","0.8415","0.314","0.1585","0.3","15"
"282","I","0.36","0.285","0.105","0.2415","0.0915","0.057","0.075","7"
"283","F","0.455","0.355","0.12","0.4495","0.177","0.104","0.15","9"
"284","M","0.485","0.395","0.14","0.6295","0.2815","0.127","0.225","14"
"285","M","0.515","0.38","0.175","0.9565","0.325","0.158","0.31","14"
"286","F","0.535","0.415","0.17","1.085","0.295","0.1965","0.285","10"
"287","M","0.53","0.435","0.155","0.7165","0.288","0.1595","0.205","10"
"288","F","0.495","0.4","0.155","0.6445","0.242","0.1325","0.205","17"
"289","M","0.44","0.355","0.125","0.4775","0.132","0.0815","0.19","9"
"290","F","0.535","0.435","0.16","0.8105","0.3155","0.1795","0.24","10"
"291","M","0.54","0.435","0.18","0.996","0.3835","0.226","0.325","17"
"292","F","0.565","0.505","0.21","1.2765","0.501","0.279","0.355","12"
"293","M","0.61","0.475","0.165","1.116","0.428","0.2205","0.315","15"
"294","F","0.565","0.455","0.175","1.013","0.342","0.207","0.35","19"
"295","M","0.6","0.495","0.195","1.0575","0.384","0.19","0.375","26"
"296","I","0.295","0.215","0.085","0.128","0.049","0.034","0.04","6"
"297","I","0.275","0.205","0.075","0.1105","0.045","0.0285","0.035","6"
"298","I","0.28","0.21","0.085","0.1065","0.039","0.0295","0.03","4"
"299","M","0.49","0.395","0.14","0.549","0.2215","0.1275","0.15","11"
"300","M","0.37","0.28","0.105","0.234","0.0905","0.0585","0.075","9"
"301","F","0.405","0.305","0.095","0.3485","0.1455","0.0895","0.1","9"
"302","F","0.54","0.435","0.175","0.892","0.322","0.174","0.335","13"
"303","M","0.37","0.28","0.1","0.252","0.1065","0.0595","0.074","8"
"304","M","0.36","0.27","0.1","0.217","0.0885","0.0495","0.0715","6"
"305","F","0.47","0.36","0.13","0.6315","0.182","0.114","0.15","10"
"306","I","0.2","0.145","0.06","0.037","0.0125","0.0095","0.011","4"
"307","I","0.165","0.12","0.03","0.0215","0.007","0.005","0.005","3"
"308","M","0.645","0.515","0.24","1.5415","0.471","0.369","0.535","13"
"309","M","0.55","0.41","0.125","0.7605","0.2505","0.1635","0.195","14"
"310","M","0.57","0.435","0.145","0.983","0.3925","0.2355","0.275","10"
"311","F","0.63","0.485","0.19","1.2435","0.4635","0.3055","0.39","21"
"312","M","0.56","0.44","0.14","0.971","0.443","0.2045","0.265","14"
"313","M","0.595","0.455","0.195","1.3305","0.4595","0.3235","0.345","19"
"314","F","0.62","0.47","0.2","1.2255","0.381","0.27","0.435","23"
"315","M","0.63","0.485","0.175","1.3","0.4335","0.2945","0.46","23"
"316","I","0.45","0.355","0.11","0.4585","0.194","0.067","0.14","8"
"317","F","0.635","0.535","0.19","1.242","0.576","0.2475","0.39","14"
"318","M","0.45","0.35","0.1","0.3675","0.1465","0.1015","0.12","10"
"319","F","0.58","0.455","0.155","0.8365","0.315","0.1385","0.32","18"
"320","I","0.33","0.255","0.095","0.172","0.066","0.0255","0.06","6"
"321","I","0.265","0.21","0.06","0.0965","0.0425","0.022","0.03","5"
"322","I","0.19","0.145","0.04","0.038","0.0165","0.0065","0.015","4"
"323","M","0.385","0.31","0.1","0.2845","0.1065","0.075","0.1","11"
"324","I","0.265","0.205","0.07","0.1055","0.039","0.041","0.035","5"
"325","M","0.335","0.265","0.105","0.222","0.0935","0.056","0.075","7"
"326","I","0.355","0.275","0.09","0.251","0.097","0.053","0.08","7"
"327","I","0.32","0.255","0.1","0.1755","0.073","0.0415","0.065","7"
"328","M","0.51","0.4","0.13","0.6435","0.27","0.1665","0.205","12"
"329","M","0.36","0.295","0.105","0.241","0.0865","0.053","0.095","8"
"330","I","0.36","0.28","0.09","0.2255","0.0885","0.04","0.09","8"
"331","M","0.5","0.38","0.155","0.5955","0.2135","0.161","0.2","12"
"332","F","0.4","0.325","0.12","0.3185","0.134","0.0565","0.095","8"
"333","I","0.3","0.22","0.08","0.121","0.0475","0.042","0.035","5"
"334","I","0.235","0.175","0.04","0.0705","0.0335","0.015","0.02","5"
"335","F","0.74","0.6","0.195","1.974","0.598","0.4085","0.71","16"
"336","M","0.62","0.465","0.19","1.3415","0.5705","0.3175","0.355","11"
"337","M","0.6","0.475","0.19","1.0875","0.403","0.2655","0.325","14"
"338","M","0.59","0.45","0.185","1.283","0.473","0.276","0.425","16"
"339","M","0.62","0.475","0.185","1.325","0.6045","0.325","0.33","13"
"340","F","0.565","0.45","0.195","1.0035","0.406","0.2505","0.285","15"
"341","M","0.575","0.455","0.145","1.165","0.581","0.2275","0.3","14"
"342","F","0.62","0.51","0.205","1.3475","0.4775","0.2565","0.48","14"
"343","M","0.62","0.465","0.185","1.274","0.579","0.3065","0.32","12"
"344","F","0.505","0.375","0.18","0.568","0.2325","0.1495","0.17","12"
"345","F","0.46","0.425","0.155","0.746","0.3005","0.152","0.24","8"
"346","M","0.49","0.39","0.14","0.707","0.2795","0.2185","0.18","13"
"347","F","0.525","0.42","0.16","0.756","0.2745","0.173","0.275","9"
"348","I","0.34","0.26","0.08","0.2","0.08","0.0555","0.055","6"
"349","I","0.375","0.305","0.115","0.2715","0.092","0.074","0.09","8"
"350","M","0.61","0.48","0.15","1.2","0.56","0.2455","0.28","14"
"351","F","0.61","0.495","0.185","1.153","0.536","0.2905","0.245","8"
"352","F","0.585","0.45","0.17","0.8685","0.3325","0.1635","0.27","22"
"353","M","0.57","0.46","0.14","0.9535","0.4465","0.2065","0.245","12"
"354","M","0.58","0.455","0.17","0.93","0.408","0.259","0.22","9"
"355","M","0.635","0.515","0.17","1.275","0.509","0.286","0.34","16"
"356","M","0.7","0.58","0.205","2.13","0.7415","0.49","0.58","20"
"357","M","0.675","0.525","0.185","1.587","0.6935","0.336","0.395","13"
"358","F","0.645","0.525","0.19","1.8085","0.7035","0.3885","0.395","18"
"359","M","0.745","0.585","0.215","2.499","0.9265","0.472","0.7","17"
"360","F","0.685","0.545","0.18","1.768","0.7495","0.392","0.485","16"
"361","M","0.605","0.49","0.18","1.227","0.48","0.287","0.35","18"
"362","F","0.59","0.465","0.15","0.997","0.392","0.246","0.34","12"
"363","F","0.65","0.525","0.175","1.4225","0.61","0.2995","0.445","20"
"364","F","0.6","0.48","0.15","1.029","0.4085","0.2705","0.295","16"
"365","F","0.62","0.5","0.175","1.186","0.4985","0.3015","0.35","12"
"366","M","0.63","0.515","0.16","1.016","0.4215","0.244","0.355","19"
"367","M","0.58","0.465","0.145","0.887","0.4405","0.1655","0.265","11"
"368","F","0.58","0.455","0.12","1.217","0.479","0.2735","0.265","10"
"369","M","0.63","0.49","0.18","1.13","0.458","0.2765","0.315","12"
"370","F","0.69","0.56","0.215","1.719","0.68","0.299","0.47","17"
"371","F","0.65","0.545","0.165","1.566","0.6645","0.3455","0.415","16"
